Amour,['8900000'],[29844753.],[20944753.]
Un proph�te,['13000000'],[0.],[-13000000.]
Moon,['5000000'],[9760104.],[4760104.]
L�t den r�tte komma in,['4000000'],[10785801.],[6785801.]
District 9,['30000000'],[2.10819611e+08],[1.80819611e+08]
The Wrestler,['6000000'],[44703995.],[38703995.]
Jab We Met,['2300000'],[4600000.],[2300000.]
Boyhood,['4000000'],[44349000.],[40349000.]
Star Trek,['150000000'],[3.85680446e+08],[2.35680446e+08]
In Bruges,['15000000'],[34533783.],[19533783.]
The Man from Earth,['0'],[0.],[0.]
Letters from Iwo Jima,['19000000'],[68673228.],[49673228.]
The Fall,['0'],[3669465.],[3669465.]
Life of Pi,['120000000'],[6.09016565e+08],[4.89016565e+08]
Fantastic Mr. Fox,['40000000'],[46471023.],[6471023.]
Iron Man,['140000000' '0' '0'],[5.85174222e+08 0.00000000e+00 0.00000000e+00],[ 4.45174222e+08 -1.40000000e+08 -1.40000000e+08]
Iron Man,['140000000' '0' '0'],[5.85174222e+08 0.00000000e+00 0.00000000e+00],[ 4.45174222e+08 -1.40000000e+08 -1.40000000e+08]
